DATA;well;TYPE;WLPT;WLPR;WOMT;WOMR;WWIR;WWIT;WTHP;WBHP;WLPT_Diff;WOMT_Diff;WWIT_Diff;;;
01.07.2008;3;Prod;39569.10788;152.5894916;13806.45098;51.88197756;0;0;99.45543327;60;4730.27424;1608.341304;0;;;
01.08.2008;3;Prod;44471.00979;158.125868;15469.5404;53.64804571;0;0;101.0097022;60;4901.901907;1663.089417;0;;;
01.09.2008;3;Prod;49327.12723;161.8705816;17104.73764;54.50657464;0;0;102.2568786;60;4856.117447;1635.197239;0;;;
01.10.2008;3;Prod;54425.4008;164.4604378;18793.45499;54.47475332;0;0;103.4771637;60;5098.273572;1688.717353;0;;;
01.11.2008;3;Prod;59419.56162;166.472027;20410.78484;53.91099509;0;0;104.5225954;60;4994.160811;1617.329853;0;;;
01.12.2008;3;Prod;64637.69506;168.3268852;22052.34015;52.95339692;0;0;105.4816825;60;5218.133441;1641.555305;0;;;
01.01.2009;3;Prod;69903.03725;169.849748;23656.02057;51.7316265;0;0;106.3943323;60;5265.342189;1603.680422;0;;;
01.02.2009;3;Prod;74693.13637;171.0749688;25070.46669;50.51593272;0;0;107.161445;60;4790.099125;1414.446116;0;;;
01.03.2009;3;Prod;80039.08937;172.4500967;26593.49849;49.13005819;0;0;107.9228795;60;5345.952997;1523.031804;0;;;
01.04.2009;3;Prod;85247.37085;173.6093829;28023.51009;47.66705347;0;0;108.6621674;60;5208.281486;1430.011604;0;;;
01.05.2009;3;Prod;90661.41593;174.6466154;29449.63846;46.00414091;0;0;109.4506976;60;5414.045076;1426.128368;0;;;
01.06.2009;3;Prod;95932.79327;175.7125781;30779.94639;44.34359753;0;0;110.1690399;60;5271.377343;1330.307926;0;;;
01.07.2009;3;Prod;101420.1074;177.0101321;32104.47417;42.72670275;0;0;110.765361;60;5487.314094;1324.527785;0;;;
